animal_id,sex,2017-05-22,2017-05-25,2017-05-30,2017-06-01,2017-06-07,2017-06-09,2017-06-13,2017-06-16,2017-06-19,2017-06-26,2017-07-04,2017-07-07
1,Male,1,0,0,0,0,0,0,0,0,0,0,0
2,Male,1,0,0,0,0,0,0,0,0,0,0,0
3,Female,0,1,0,0,0,0,0,0,0,0,0,0
4,Male,0,1,0,0,0,0,0,0,0,0,0,0
5,Male,0,1,0,1,0,0,0,0,0,0,0,0
6,Female,0,1,0,0,0,0,0,0,0,0,0,0
7,Male,0,1,0,0,0,0,0,0,0,0,0,0
8,Male,0,1,0,0,0,0,0,0,0,0,0,0
9,Female,0,1,0,0,0,0,0,0,0,0,0,0
10,Male,0,1,0,0,0,0,0,0,0,0,0,0
11,Male,0,1,0,0,0,0,0,0,0,0,0,0
12,Male,0,1,0,0,0,0,0,0,0,0,0,0
13,Male,0,1,0,0,0,0,0,0,0,0,0,0
14,Male,0,1,1,1,0,0,0,0,0,0,0,0
15,Male,0,1,0,0,0,0,0,0,0,0,0,0
16,Male,0,1,0,0,0,0,0,0,0,0,0,0
17,Male,0,0,1,0,0,0,0,0,0,0,0,0
18,Female,0,0,1,0,0,0,0,0,0,0,0,0
19,Male,0,0,1,0,0,0,0,0,0,0,0,0
20,Male,0,0,0,1,0,0,0,0,0,0,0,0
21,Male,0,0,0,1,0,0,0,0,0,0,0,0
22,Female,0,0,0,1,0,0,0,0,0,0,0,0
23,Male,0,0,0,1,0,0,0,0,0,0,0,0
0,Male,0,0,0,1,0,0,0,0,0,0,0,0
27,Female,0,0,0,0,1,0,0,0,0,0,0,0
28,Female,0,0,0,0,1,0,0,0,0,0,0,0
30,Male,0,0,0,0,0,0,1,0,0,0,0,0
31,Male,0,0,0,0,0,0,1,0,0,0,0,0
32,Male,0,0,0,0,0,0,0,1,1,0,0,0
33,Immature Male,0,0,0,0,0,0,0,1,0,0,0,0
34,Male,0,0,0,0,0,0,0,1,0,0,0,0
35,Male,0,0,0,0,0,0,0,1,1,0,0,0
36,Male,0,0,0,0,0,0,0,1,0,0,0,0
37,Male,0,0,0,0,0,0,0,0,1,1,0,0
38,Male,0,0,0,0,0,0,0,0,1,0,0,0
39,Male,0,0,0,0,0,0,0,0,1,0,0,0
40,Male,0,0,0,0,0,0,0,0,1,0,0,0
41,Male,0,0,0,0,0,0,0,0,1,0,0,0
42,Male,0,0,0,0,0,0,0,0,1,0,0,0
402,Male,0,0,0,0,0,0,0,0,1,0,0,0
43,Male,0,0,0,0,0,0,0,0,1,0,0,0
44,Male,0,0,0,0,0,0,0,0,1,0,0,0
45,Male,0,0,0,0,0,0,0,0,0,1,0,0
4,Male,0,0,0,0,0,0,0,0,0,1,0,0
46,Male,0,0,0,0,0,0,0,0,0,1,0,0
47,Male,0,0,0,0,0,0,0,0,0,1,0,0
48,Female,0,0,0,0,0,0,0,0,0,0,1,0
49,Male,0,0,0,0,0,0,0,0,0,0,0,1
50,Female,0,0,0,0,0,0,0,0,0,0,0,1
51,Male,0,0,0,0,0,0,0,0,0,0,0,1
