NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,90,90,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,90,100,100,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,90,90,100,100,60,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,100,100,90,90,100,100,100,70,70,70,NA,NA,NA
NA,NA,NA,NA,NA,NA,90,100,100,100,90,100,70,50,70,80,80,40,NA,NA
NA,NA,NA,NA,NA,100,90,100,100,90,90,100,90,60,35,0,0,0,70,NA
NA,NA,NA,NA,NA,90,90,100,100,100,100,NA,30,30,10,10,50,50,0,NA
NA,NA,NA,100,100,90,100,100,100,90,NA,100,100,90,90,10,60,60,0,NA
NA,NA,100,100,100,100,80,80,80,90,50,100,100,100,100,20,70,60,0,NA
NA,NA,100,100,100,100,90,80,80,70,60,100,NA,NA,NA,NA,NA,100,NA,NA
NA,NA,100,50,100,90,40,100,100,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,100,100,100,100,80,NA,80,80,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,100,100,100,100,100,60,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
