Date,Effort,Cloud,Temp,Wind,Time,Sex,GPS,E,N,Lat,Long
22/05/2017,5,50,20,4,10.39,Male,SJ495360,349500,336000,52.91903097,-2.752516758
22/05/2017,5,50,20,4,10.3,Male,SJ495360,349500,336000,52.91903097,-2.752516758
22/05/2017,5,50,20,4,10.39,Female,SJ495360,349500,336000,52.91903097,-2.752516758
22/05/2017,5,50,20,4,11.1,Teneral,SJ494361,349400,336100,52.91992039,-2.754019507
22/05/2017,5,50,20,4,11.15,Male,SJ494362,349400,336200,52.92081924,-2.754035127
22/05/2017,5,50,20,4,11.15,Teneral,SJ494362,349400,336200,52.92081924,-2.754035127
22/05/2017,5,50,20,4,11.15,Male,SJ494361,349400,336100,52.91992039,-2.754019507
22/05/2017,5,50,20,4,11.17,Tandem pair,SJ494361,349400,336100,52.91992039,-2.754019507
22/05/2017,5,50,20,4,11.29,Male,SJ494362,349400,336200,52.92081924,-2.754035127
22/05/2017,5,50,20,4,12,Teneral Male,SJ485358,348500,335800,52.91713813,-2.767356218
22/05/2017,5,50,20,4,12.3,Teneral,SJ483354,348300,335400,52.91352348,-2.770266517
22/05/2017,5,50,20,4,12.3,Male,SJ483354,348300,335400,52.91352348,-2.770266517
22/05/2017,5,50,20,4,12.3,Male,SJ483354,348300,335400,52.91352348,-2.770266517
22/05/2017,5,50,20,4,12.51,Teneral Male,SJ482354,348200,335400,52.91351383,-2.771753451
22/05/2017,5,50,20,4,13.01,Male,SJ482344,348200,334400,52.90452534,-2.771593658
22/05/2017,5,50,20,4,13.1,Teneral,SJ482344,348200,334400,52.90452534,-2.771593658
22/05/2017,5,50,20,4,13.11,Teneral,SJ481354,348100,335400,52.91350416,-2.773240385
22/05/2017,5,50,20,4,13.17,Male,SJ481355,348100,335500,52.91440301,-2.773256399
22/05/2017,5,50,20,4,14.35,Teneral,SJ494362,349400,336200,52.92081924,-2.754035127
22/05/2017,5,50,20,4,15,Teneral,SJ490366,349000,336600,52.92437673,-2.760046864
22/05/2017,5,50,20,4,15.17,Teneral,SJ494364,349400,336400,52.92261694,-2.75406637
22/05/2017,5,50,20,4,15.17,Male,SJ494364,349400,336400,52.92261694,-2.75406637
22/05/2017,5,50,20,4,15.17,Male,SJ494364,349400,336400,52.92261694,-2.75406637
22/05/2017,5,50,20,4,15.18,Teneral,SJ494364,349400,336400,52.92261694,-2.75406637
22/05/2017,5,50,20,4,15.18,Female,SJ494364,349400,336400,52.92261694,-2.75406637
22/05/2017,5,50,20,4,15.19,Teneral,SJ494364,349400,336400,52.92261694,-2.75406637
22/05/2017,5,50,20,4,15.3,Male,SJ494364,349400,336400,52.92261694,-2.75406637
25/05/2017,2.5,0,22,1,10.06,Female,SJ4943136388,349431,336388,52.92251201,-2.753603449
